area_code,year,life_expectancy,imd_score,imd_decile,physiological_score,behavioural_score
E09000021,2017,83.45500000000001,11.381,10,115.8,113.4
E09000021,2018,83.45,11.381,10,117.1,112.6
E09000022,2015,81.08771,25.422,5,118.2,97.9
E09000022,2016,81.47234499999999,25.422,5,117.2,101.4
E09000022,2017,81.84,25.422,5,117.9,107.1
E09000022,2018,81.255,25.422,5,114.9,104.5
E09000023,2015,81.35629,26.661,4,107.8,103.7
E09000023,2016,81.53679,26.661,4,107,101.5
E09000023,2017,81.49000000000001,26.661,4,107.3,103
E09000023,2018,80.965,26.661,4,109.4,105.3
E09000024,2015,82.580555,14.649,9,110.8,111.2
E09000024,2016,82.684955,14.649,9,110.2,114.1
E09000024,2017,82.815,14.649,9,110.2,112.2
E09000024,2018,82.22,14.649,9,108.7,111.9
E09000025,2015,81.30582000000001,29.577,3,100.4,98.3
E09000025,2016,81.75769,29.577,3,99.7,96.3
E09000025,2017,81.94,29.577,3,98.4,99.8
E09000025,2018,81.03999999999999,29.577,3,98,96
E09000026,2015,82.663,17.203,8,104.5,113.8
E09000026,2016,83.11843999999999,17.203,8,104.5,112.1
E09000026,2017,83.365,17.203,8,99,114.7
E09000026,2018,82.53,17.203,8,100.8,109.6
E09000027,2015,84.01814999999999,9.425,10,120.6,115.2
E09000027,2016,84.48028500000001,9.425,10,121,117.1
E09000027,2017,84.43,9.425,10,121,116.9
E09000027,2018,84.31,9.425,10,123,118.7
E09000028,2015,81.643675,25.811,4,117.1,103.2
E09000028,2016,81.96279000000001,25.811,4,115.8,104.7
E09000028,2017,82.235,25.811,4,108.8,107.4
E09000028,2018,81.875,25.811,4,114,104.2
E09000029,2015,82.526955,13.987,9,108.2,102.1
E09000029,2016,82.227565,13.987,9,107.2,107.2
E09000029,2017,82.63,13.987,9,105.4,103.1
E09000029,2018,82.12,13.987,9,102.7,98.7
E09000030,2015,80.94766,27.913,3,110.5,99.5
E09000030,2016,81.273365,27.913,3,110.8,102.3
E09000030,2017,81.995,27.913,3,118.8,102.5
E09000030,2018,81.605,27.913,3,116.7,100.6
E09000031,2015,82.105985,25.209,5,109.8,107.5
E09000031,2016,82.54545,25.209,5,109.5,103.6
E09000031,2017,82.855,25.209,5,108.1,115.3
E09000031,2018,82.14,25.209,5,108.9,108.2
E09000032,2015,81.91677999999999,16.611,8,120.1,110.2
E09000032,2016,82.25425,16.611,8,120.2,112
E09000032,2017,82.41499999999999,16.611,8,123.4,112
E09000032,2018,82.155,16.611,8,119.4,110.3
E09000033,2015,84.346135,20.339,6,121,105
E09000033,2016,85.22368,20.339,6,121.1,106.9
E09000033,2017,86.05,20.339,6,123.9,107.7
E09000033,2018,85.91,20.339,6,124,110.4
E10000003,2015,82.637200000000007,13.858,9,106,104.2
E10000003,2016,82.7236198453558,13.858,9,105.8,106.7
E10000003,2017,82.81,13.858,9,106.6,105.3
E10000003,2018,82.76499999999999,13.858,9,106.9,102.3
E10000006,2015,81.110405,21.261,6,96,98.8
E10000006,2016,81.17376229793315,21.261,6,95.4,98.9
E10000006,2017,81.42,21.261,6,93.1,101.4
E10000006,2018,80.96000000000001,21.261,6,92.4,100.5
E10000007,2015,81.05598,18.392,7,91.4,97.6
E10000007,2016,81.22522659983795,18.392,7,90.5,101.5
E10000007,2017,81.28,18.392,7,91.6,98.3
E10000007,2018,80.96000000000001,18.392,7,89.3,97.8
E10000008,2015,82.28912,16.607,8,96.5,109
E10000008,2016,82.37314065636735,16.607,8,95.9,108.7
E10000008,2017,82.545,16.607,8,99.5,109
E10000008,2018,82.64,16.607,8,97,109.9
E10000011,2015,82.05478500000001,19.77,7,99.6,103.4
E10000011,2016,82.07946722838525,19.77,7,98.6,106.7
E10000011,2017,82.125,19.77,7,96.6,103.5
E10000011,2018,82.095,19.77,7,93.5,110
E10000012,2015,81.730445,17.016,8,98.8,103
E10000012,2016,81.7768972733913,17.016,8,98.5,105.3
E10000012,2017,81.96000000000001,17.016,8,97.1,104.3
E10000012,2018,81.845,17.016,8,97,102
E10000013,2015,81.93578500000001,14.932,9,102.4,102.9
